player_id,season_label,goals,assists,shots_on_target,minutes_played,market_value,market_value_next_season,age_in_days
1458,2020-2021,12,2,34,3087,200000,200000.0,8310
1458,2021-2022,5,1,19,1862,200000,,8676
1460,2018-2019,1,0,1,161,1000000,800000.0,8901
1460,2019-2020,1,0,2,364,800000,1000000.0,9266
1460,2020-2021,0,0,1,459,1000000,1000000.0,9631
1460,2020-2021,1,0,1,44,1000000,,9631
1470,2017-2018,11,1,25,1978,5000000,3000000.0,10222
1470,2018-2019,0,1,2,638,3000000,2400000.0,10587
1470,2019-2020,1,0,5,672,2400000,1200000.0,10952
1470,2020-2021,2,0,5,748,1200000,,11317
1485,2020-2021,13,1,44,2877,12000000,16000000.0,8232
1485,2021-2022,10,0,22,1808,16000000,,8598
1486,2017-2018,0,0,0,76,4000000,,8565
1487,2017-2018,0,0,0,30,500000,,7408
1504,2021-2022,1,0,5,667,5000000,,8679
1505,2017-2018,0,0,1,166,300000,,7845
1506,2019-2020,0,0,2,226,800000,,12032
1517,2017-2018,5,1,6,635,7500000,7500000.0,9245
1517,2018-2019,1,1,1,37,7500000,,9610
1518,2017-2018,2,0,4,436,1000000,,10510
1519,2018-2019,1,3,5,557,2000000,,9060
1525,2017-2018,4,10,19,2517,15000000,8000000.0,8002
1525,2018-2019,2,1,9,844,8000000,4800000.0,8367
1525,2019-2020,2,0,15,891,4800000,,8732
1526,2017-2018,3,2,13,1466,2000000,3000000.0,8980
1526,2018-2019,3,1,7,965,3000000,3000000.0,9345
1526,2018-2019,0,0,0,193,3000000,2400000.0,9345
1526,2019-2020,1,0,3,170,2400000,1500000.0,9710
1526,2020-2021,1,0,5,1113,1500000,1500000.0,10075
1526,2020-2021,0,0,0,49,1500000,2000000.0,10075
1526,2021-2022,0,0,0,14,2000000,2000000.0,10441
1526,2021-2022,4,1,10,1861,2000000,,10441
1531,2017-2018,0,0,0,29,400000,1000000.0,7582
1531,2018-2019,2,0,4,517,1000000,,7947
1540,2017-2018,3,2,7,486,1200000,,8942
1542,2019-2020,3,0,5,531,3200000,4500000.0,7763
1542,2020-2021,4,2,15,1589,4500000,3000000.0,8128
1542,2021-2022,2,0,6,548,3000000,,8494
1547,2017-2018,13,1,25,2077,22000000,,9322
1556,2017-2018,1,3,3,1102,2000000,1200000.0,7996
1556,2018-2019,0,0,0,146,1200000,1200000.0,8361
1556,2020-2021,1,1,3,827,1200000,1200000.0,9091
1556,2021-2022,2,2,4,1065,1200000,,9457
1557,2017-2018,0,0,0,10,500000,,6144
1559,2017-2018,3,3,14,2859,5000000,4000000.0,7474
1559,2018-2019,1,2,6,1002,4000000,2400000.0,7839
1559,2019-2020,0,0,0,66,2400000,2000000.0,8204
1559,2021-2022,0,1,4,884,2000000,,8935
1564,2017-2018,0,0,0,6,5000000,2500000.0,7932
1564,2018-2019,0,0,0,113,2500000,2000000.0,8297
1564,2019-2020,2,1,6,791,2000000,2000000.0,8662
1564,2019-2020,0,0,5,337,2000000,,8662
1568,2017-2018,6,0,14,1276,2000000,2500000.0,7528
1568,2018-2019,1,0,4,699,2500000,,7893
1571,2017-2018,0,0,1,276,1500000,15000000.0,7613
1571,2021-2022,7,3,15,1713,15000000,,9074
1574,2017-2018,0,0,0,4,0,,7933
1575,2017-2018,9,3,25,3109,6000000,9000000.0,8501
1575,2018-2019,9,2,17,2869,9000000,6000000.0,8866
1575,2019-2020,1,3,14,1811,6000000,5000000.0,9231
1575,2020-2021,5,2,17,1544,5000000,,9596
1584,2017-2018,1,1,4,1459,5000000,4000000.0,7234
1584,2018-2019,0,4,8,1321,4000000,3200000.0,7599
1584,2019-2020,1,4,8,1442,3200000,2000000.0,7964
1584,2020-2021,0,0,0,216,2000000,2000000.0,8329
1584,2020-2021,0,0,0,95,2000000,,8329
