player_id,season_label,pass_completed,tackles_won,interceptions,assists,goals,minutes_played,market_value,market_value_next_season,age_in_days
1344,2021-2022,493,13,11,1,1,1331,1000000,,11878
1349,2017-2018,1632,26,28,2,1,2214,30000000,,10244
1367,2017-2018,1813,53,42,6,3,2659,20000000,,7578
1370,2017-2018,69,4,0,0,0,143,2500000,,8017
1375,2019-2020,80,1,0,0,0,150,300000,,9884
1380,2017-2018,694,24,23,1,1,1552,2500000,,9600
1389,2017-2018,1257,21,30,8,4,2932,15000000,14000000,10077
1389,2018-2019,1033,25,34,3,1,2354,14000000,11000000,10442
1389,2019-2020,1271,25,31,6,1,2733,11000000,7000000,10807
1389,2020-2021,1237,31,47,1,4,2979,7000000,6000000,11172
1389,2021-2022,20,0,0,0,0,45,6000000,6000000,11538
1389,2021-2022,534,13,13,1,1,1582,6000000,,11538
1396,2018-2019,536,4,2,0,2,637,30000000,18000000,7301
1396,2019-2020,333,9,1,0,1,735,18000000,18000000,7666
1396,2019-2020,141,1,0,0,0,172,18000000,15000000,7666
1396,2020-2021,36,0,0,0,0,48,15000000,15000000,8031
1396,2020-2021,390,10,2,2,2,1366,15000000,9000000,8031
1396,2021-2022,683,19,15,2,1,2320,9000000,,8397
1409,2018-2019,46,2,1,0,0,239,7000000,,11259
1414,2017-2018,331,17,14,0,2,1203,2000000,2000000,9090
1414,2018-2019,501,16,13,1,0,1580,2000000,1600000,9455
1414,2019-2020,556,25,20,1,0,2245,1600000,1800000,9820
1414,2020-2021,215,6,7,0,2,909,1800000,2000000,10185
1414,2021-2022,676,22,25,2,1,2405,2000000,,10551
1422,2017-2018,683,19,7,1,1,1449,2000000,,9358
1435,2017-2018,45,0,2,0,0,96,300000,3200000,7458
1435,2019-2020,743,28,31,1,4,2316,3200000,3500000,8188
1435,2020-2021,853,30,22,3,0,2455,3500000,,8553
1441,2017-2018,75,6,1,0,0,219,8000000,,10540
1442,2017-2018,287,11,2,0,2,519,2000000,,9943
1444,2017-2018,731,65,35,0,3,2439,1800000,2000000,11208
1444,2018-2019,698,48,23,1,2,2330,2000000,1400000,11573
1444,2019-2020,508,23,28,0,0,1967,1400000,800000,11938
1444,2020-2021,280,13,12,0,0,1124,800000,3000000,12303
1444,2021-2022,437,9,13,1,0,1077,3000000,,12669
1448,2017-2018,1207,56,46,0,0,2639,3500000,,9403
1449,2017-2018,18,0,0,0,0,54,300000,1800000,7978
1449,2020-2021,289,9,10,1,0,831,1800000,1200000,9073
1449,2021-2022,57,3,3,0,1,206,1200000,,9439
1452,2017-2018,5,0,0,0,0,14,800000,1000000,8022
1452,2018-2019,95,10,2,3,0,359,1000000,,8387
1465,2017-2018,304,4,4,1,0,480,600000,,10694
1483,2017-2018,221,2,3,1,1,686,1000000,10000000,7071
1483,2018-2019,746,8,13,5,0,1997,10000000,6000000,7436
1483,2019-2020,292,4,2,0,0,1115,6000000,3000000,7801
1483,2021-2022,392,5,1,0,0,990,3000000,,8532
1500,2019-2020,7,0,0,0,0,21,400000,,7799
1501,2017-2018,262,15,11,3,1,1078,6000000,,7671
1508,2017-2018,112,10,3,0,0,246,700000,2500000,7116
1508,2018-2019,546,25,31,0,2,1692,2500000,1600000,7481
1508,2019-2020,101,4,4,0,0,311,1600000,,7846
1510,2017-2018,151,7,4,0,0,264,800000,30000000,7341
1510,2018-2019,1702,45,36,2,1,3112,30000000,16000000,7706
1510,2019-2020,1374,52,31,1,2,3008,16000000,,8071
1514,2017-2018,44,2,3,0,0,251,4000000,,8947
1527,2017-2018,814,32,5,4,1,2365,30000000,50000000,7304
1527,2018-2019,741,28,19,6,2,2460,50000000,40000000,7669
1527,2019-2020,582,10,9,0,2,2066,40000000,40000000,8034
1527,2020-2021,1272,24,23,8,11,2735,40000000,50000000,8399
1527,2021-2022,659,19,14,5,11,2474,50000000,,8765
1529,2017-2018,395,20,4,0,0,1139,7500000,,9459
1535,2017-2018,420,11,19,0,0,1217,1500000,900000,9909
1535,2018-2019,13,1,2,0,0,71,900000,,10274
1541,2017-2018,327,8,8,1,1,806,2500000,4000000,8669
1541,2018-2019,638,32,39,1,1,2070,4000000,2400000,9034
1541,2019-2020,431,17,31,1,0,1269,2400000,2000000,9399
1541,2020-2021,703,14,27,1,0,1722,2000000,3000000,9764
1541,2021-2022,551,14,20,0,2,1358,3000000,,10130
1558,2017-2018,8,0,0,0,0,15,200000,,11548
1561,2017-2018,838,19,23,0,0,1297,700000,,11866
1562,2017-2018,435,41,25,1,1,2124,3000000,15000000,7764
1562,2018-2019,519,33,30,2,1,2676,15000000,20000000,8129
1562,2019-2020,621,33,43,1,1,3069,20000000,20000000,8494
1562,2020-2021,739,39,42,0,3,2983,20000000,15000000,8859
1562,2021-2022,933,37,32,5,0,2663,15000000,,9225
1565,2017-2018,520,26,16,1,9,1580,6000000,15000000,7854
1565,2018-2019,864,43,31,4,3,2836,15000000,12000000,8219
1565,2019-2020,627,11,15,2,7,2114,12000000,15000000,8584
1565,2020-2021,656,12,21,2,1,1682,15000000,8000000,8949
1565,2021-2022,529,12,10,3,3,1701,8000000,,9315
1566,2017-2018,10,0,1,0,0,113,0,,7775
1569,2017-2018,661,18,7,3,2,1360,8000000,6000000,9813
1569,2018-2019,282,4,5,0,0,539,6000000,6000000,10178
1569,2018-2019,301,4,3,2,1,717,6000000,,10178
1577,2017-2018,13,1,2,0,0,30,1500000,,7313
1580,2017-2018,35,0,1,0,0,88,500000,,7145
1582,2017-2018,256,14,20,0,1,657,12000000,17500000,9365
1582,2018-2019,836,31,49,1,0,1761,17500000,19000000,9730
1582,2019-2020,897,21,38,0,0,1905,19000000,5000000,10095
1582,2020-2021,447,14,21,0,0,736,5000000,5000000,10460
1582,2021-2022,408,17,19,1,2,830,5000000,,10826
1592,2017-2018,261,19,14,0,1,1022,1500000,1000000,8878
1592,2018-2019,81,7,3,0,0,318,1000000,600000,9243
1592,2020-2021,36,4,3,0,0,101,600000,,9973
1594,2017-2018,540,17,27,1,0,1215,1500000,4000000,7724
1594,2019-2020,127,4,11,0,1,572,4000000,,8454
1597,2017-2018,98,5,8,0,0,480,600000,600000,11988
1597,2018-2019,89,4,5,0,0,453,600000,,12353
1598,2017-2018,459,14,17,0,1,852,1000000,3000000,7127
1598,2018-2019,945,19,21,1,2,1663,3000000,1800000,7492
1598,2020-2021,227,4,8,1,0,437,1800000,,8222
1599,2017-2018,1540,22,25,0,1,2410,4000000,2000000,10920
1599,2018-2019,417,1,5,0,0,524,2000000,1600000,11285
1599,2019-2020,164,2,4,0,0,377,1600000,,11650
1600,2017-2018,316,15,10,1,0,676,5000000,,8538
1602,2017-2018,39,1,1,0,0,64,200000,,7263
1604,2017-2018,17,0,1,0,0,23,300000,,6900
1605,2017-2018,1395,53,47,7,1,2848,5000000,5000000,10379
1605,2018-2019,1088,28,35,4,0,2391,5000000,,10744
1607,2017-2018,26,2,0,0,0,71,200000,,7226
1609,2017-2018,14,2,0,0,0,45,0,,7946
1610,2017-2018,25,0,1,0,0,81,150000,200000,6941
1610,2018-2019,0,0,1,0,0,3,200000,,7306
1613,2017-2018,157,1,3,0,0,241,300000,,8759
1622,2017-2018,26,1,0,0,0,53,1000000,,8401
1625,2017-2018,1888,45,39,0,0,3061,15000000,25000000,8073
1625,2018-2019,1257,19,26,1,0,2489,25000000,16000000,8438
1625,2019-2020,685,11,8,0,0,1383,16000000,,8803
1630,2017-2018,107,9,4,0,0,309,1500000,2500000,6812
1630,2018-2019,619,19,21,0,0,1490,2500000,,7177
1631,2017-2018,289,16,17,1,0,994,1500000,,7446
1633,2017-2018,216,13,16,0,0,557,3000000,15000000,8011
1633,2018-2019,581,45,71,0,1,3209,15000000,20000000,8376
1633,2019-2020,520,28,56,0,2,2895,20000000,15000000,8741
